filename,dish
Images\fish_and_chips\2221051.jpg,fish_and_chips
Images\donuts\3269104.jpg,donuts
Images\churros\1142539.jpg,churros
Images\churros\562393.jpg,churros
Images\fish_and_chips\1874279.jpg,fish_and_chips
Images\donuts\3280241.jpg,donuts
Images\fried_rice\1332728.jpg,fried_rice
Images\donuts\234991.jpg,donuts
Images\fish_and_chips\1011681.jpg,fish_and_chips
Images\dumplings\2535082.jpg,dumplings
Images\donuts\53457.jpg,donuts
Images\dumplings\2182019.jpg,dumplings
Images\escargots\1864035.jpg,escargots
Images\club_sandwich\882772.jpg,club_sandwich
Images\donuts\379501.jpg,donuts
Images\french_fries\2952319.jpg,french_fries
Images\club_sandwich\2402089.jpg,club_sandwich
Images\donuts\1381911.jpg,donuts
Images\dumplings\1004463.jpg,dumplings
Images\fried_rice\415170.jpg,fried_rice
Images\club_sandwich\1827577.jpg,club_sandwich
Images\donuts\456541.jpg,donuts
Images\fish_and_chips\2500832.jpg,fish_and_chips
Images\chicken_wings\2388884.jpg,chicken_wings
Images\grilled_cheese_sandwich\614791.jpg,grilled_cheese_sandwich
Images\donuts\1538020.jpg,donuts
Images\club_sandwich\2438386.jpg,club_sandwich
Images\french_fries\467106.jpg,french_fries
Images\chicken_wings\2609460.jpg,chicken_wings
Images\churros\2882446.jpg,churros
Images\dumplings\2600333.jpg,dumplings
Images\donuts\1866881.jpg,donuts
Images\churros\1075574.jpg,churros
Images\escargots\2933652.jpg,escargots
Images\french_fries\2369424.jpg,french_fries
Images\fried_rice\3295993.jpg,fried_rice
Images\fish_and_chips\2621475.jpg,fish_and_chips
Images\chicken_wings\788545.jpg,chicken_wings
Images\fried_rice\3571082.jpg,fried_rice
Images\chicken_wings\772600.jpg,chicken_wings
Images\french_fries\2249089.jpg,french_fries
Images\churros\3167920.jpg,churros
Images\churros\2360308.jpg,churros
Images\french_fries\883838.jpg,french_fries
Images\churros\2763955.jpg,churros
Images\fried_rice\1897829.jpg,fried_rice
Images\french_fries\2503834.jpg,french_fries
Images\fish_and_chips\3632964.jpg,fish_and_chips
Images\escargots\1280385.jpg,escargots
Images\chicken_wings\2263188.jpg,chicken_wings
Images\fried_rice\422153.jpg,fried_rice
Images\dumplings\154704.jpg,dumplings
Images\club_sandwich\2637660.jpg,club_sandwich
Images\fish_and_chips\2339436.jpg,fish_and_chips
Images\chicken_quesadilla\1185761.jpg,chicken_quesadilla
Images\dumplings\3910781.jpg,dumplings
Images\chicken_wings\197665.jpg,chicken_wings
Images\churros\1382503.jpg,churros
Images\fried_rice\2390079.jpg,fried_rice
Images\fried_rice\165848.jpg,fried_rice
Images\fish_and_chips\2968099.jpg,fish_and_chips
Images\club_sandwich\1910999.jpg,club_sandwich
Images\french_fries\2649729.jpg,french_fries
Images\fried_rice\397323.jpg,fried_rice
Images\dumplings\1693794.jpg,dumplings
Images\chicken_wings\1411969.jpg,chicken_wings
Images\grilled_cheese_sandwich\3705105.jpg,grilled_cheese_sandwich
Images\fish_and_chips\1902449.jpg,fish_and_chips
Images\churros\644455.jpg,churros
Images\chicken_quesadilla\2367805.jpg,chicken_quesadilla
Images\escargots\689502.jpg,escargots
Images\chicken_wings\287656.jpg,chicken_wings
Images\club_sandwich\452754.jpg,club_sandwich
Images\escargots\81395.jpg,escargots
Images\chicken_wings\1249779.jpg,chicken_wings
Images\chicken_quesadilla\701054.jpg,chicken_quesadilla
Images\chicken_quesadilla\1954682.jpg,chicken_quesadilla
Images\donuts\2901202.jpg,donuts
Images\chicken_wings\1244110.jpg,chicken_wings
Images\dumplings\1230066.jpg,dumplings
Images\fish_and_chips\3212580.jpg,fish_and_chips
Images\grilled_cheese_sandwich\3472814.jpg,grilled_cheese_sandwich
Images\dumplings\521158.jpg,dumplings
Images\fish_and_chips\888785.jpg,fish_and_chips
Images\dumplings\2371672.jpg,dumplings
Images\escargots\2236617.jpg,escargots
Images\dumplings\249816.jpg,dumplings
Images\dumplings\1312302.jpg,dumplings
Images\fried_rice\3265796.jpg,fried_rice
Images\club_sandwich\1998312.jpg,club_sandwich
Images\dumplings\3890813.jpg,dumplings
Images\french_fries\3029784.jpg,french_fries
Images\fried_rice\2499116.jpg,fried_rice
Images\club_sandwich\1347393.jpg,club_sandwich
Images\fried_rice\1267123.jpg,fried_rice
Images\dumplings\593.jpg,dumplings
Images\club_sandwich\3213437.jpg,club_sandwich
Images\escargots\281614.jpg,escargots
Images\donuts\191216.jpg,donuts
Images\churros\1183750.jpg,churros
Images\fried_rice\1663986.jpg,fried_rice
Images\dumplings\2754936.jpg,dumplings
Images\fried_rice\1097624.jpg,fried_rice
Images\churros\2567372.jpg,churros
Images\club_sandwich\165857.jpg,club_sandwich
Images\fried_rice\421911.jpg,fried_rice
Images\french_fries\1177340.jpg,french_fries
Images\fish_and_chips\1784894.jpg,fish_and_chips
Images\fish_and_chips\502324.jpg,fish_and_chips
Images\chicken_quesadilla\2887131.jpg,chicken_quesadilla
Images\fried_rice\1479896.jpg,fried_rice
Images\donuts\1743830.jpg,donuts
Images\escargots\3687108.jpg,escargots
Images\dumplings\629627.jpg,dumplings
Images\chicken_wings\2437425.jpg,chicken_wings
Images\dumplings\681181.jpg,dumplings
Images\churros\3406463.jpg,churros
Images\fried_rice\497639.jpg,fried_rice
Images\french_fries\3678935.jpg,french_fries
Images\club_sandwich\178220.jpg,club_sandwich
Images\dumplings\583622.jpg,dumplings
Images\french_fries\3327856.jpg,french_fries
Images\donuts\122399.jpg,donuts
Images\donuts\1199292.jpg,donuts
Images\escargots\641.jpg,escargots
Images\chicken_wings\1568515.jpg,chicken_wings
Images\donuts\2078213.jpg,donuts
Images\chicken_quesadilla\3501632.jpg,chicken_quesadilla
Images\escargots\1550514.jpg,escargots
Images\escargots\946985.jpg,escargots
Images\french_fries\657873.jpg,french_fries
Images\fish_and_chips\813266.jpg,fish_and_chips
Images\chicken_quesadilla\639509.jpg,chicken_quesadilla
Images\dumplings\129257.jpg,dumplings
Images\churros\1135011.jpg,churros
Images\chicken_quesadilla\1669855.jpg,chicken_quesadilla
Images\churros\1933785.jpg,churros
Images\grilled_cheese_sandwich\1195476.jpg,grilled_cheese_sandwich
Images\dumplings\2380724.jpg,dumplings
Images\fried_rice\424836.jpg,fried_rice
Images\grilled_cheese_sandwich\3698350.jpg,grilled_cheese_sandwich
Images\grilled_cheese_sandwich\1306056.jpg,grilled_cheese_sandwich
Images\escargots\1569453.jpg,escargots
Images\fish_and_chips\3091415.jpg,fish_and_chips
Images\dumplings\2013392.jpg,dumplings
Images\donuts\2528050.jpg,donuts
Images\chicken_wings\811798.jpg,chicken_wings
Images\dumplings\3513741.jpg,dumplings
Images\grilled_cheese_sandwich\757871.jpg,grilled_cheese_sandwich
Images\chicken_quesadilla\3436006.jpg,chicken_quesadilla
Images\escargots\3661118.jpg,escargots
Images\fried_rice\2059585.jpg,fried_rice
Images\chicken_quesadilla\3527105.jpg,chicken_quesadilla
Images\donuts\129078.jpg,donuts
Images\french_fries\1131104.jpg,french_fries
Images\french_fries\2680169.jpg,french_fries
Images\donuts\1503725.jpg,donuts
Images\fish_and_chips\2002863.jpg,fish_and_chips
Images\churros\3513246.jpg,churros
Images\chicken_quesadilla\3305265.jpg,chicken_quesadilla
Images\dumplings\3668232.jpg,dumplings
Images\chicken_wings\889101.jpg,chicken_wings
Images\escargots\1979987.jpg,escargots
Images\dumplings\2265477.jpg,dumplings
Images\french_fries\1129645.jpg,french_fries
Images\club_sandwich\3463007.jpg,club_sandwich
Images\donuts\1044089.jpg,donuts
Images\dumplings\712890.jpg,dumplings
Images\club_sandwich\3001585.jpg,club_sandwich
Images\grilled_cheese_sandwich\1570462.jpg,grilled_cheese_sandwich
Images\french_fries\2078820.jpg,french_fries
Images\escargots\2309745.jpg,escargots
Images\grilled_cheese_sandwich\2093276.jpg,grilled_cheese_sandwich
Images\grilled_cheese_sandwich\235659.jpg,grilled_cheese_sandwich
Images\churros\199032.jpg,churros
Images\dumplings\2975629.jpg,dumplings
Images\fish_and_chips\884966.jpg,fish_and_chips
Images\churros\2897925.jpg,churros
Images\french_fries\1509620.jpg,french_fries
Images\donuts\108879.jpg,donuts
Images\escargots\3075733.jpg,escargots
Images\club_sandwich\307757.jpg,club_sandwich
Images\escargots\462504.jpg,escargots
Images\donuts\2965162.jpg,donuts
Images\chicken_wings\178183.jpg,chicken_wings
Images\grilled_cheese_sandwich\2427002.jpg,grilled_cheese_sandwich
Images\french_fries\423630.jpg,french_fries
Images\donuts\724330.jpg,donuts
Images\chicken_quesadilla\2224056.jpg,chicken_quesadilla
Images\escargots\3588398.jpg,escargots
Images\dumplings\3795258.jpg,dumplings
Images\donuts\812107.jpg,donuts
Images\churros\3026751.jpg,churros
Images\fried_rice\64014.jpg,fried_rice
Images\chicken_quesadilla\3704955.jpg,chicken_quesadilla
Images\french_fries\2208648.jpg,french_fries
Images\donuts\2594319.jpg,donuts
Images\french_fries\3262272.jpg,french_fries
Images\chicken_wings\3137079.jpg,chicken_wings
Images\chicken_wings\565518.jpg,chicken_wings
Images\grilled_cheese_sandwich\3448663.jpg,grilled_cheese_sandwich
Images\chicken_wings\781330.jpg,chicken_wings
Images\churros\3781999.jpg,churros
Images\fish_and_chips\572114.jpg,fish_and_chips
Images\french_fries\3620351.jpg,french_fries
Images\churros\455213.jpg,churros
Images\club_sandwich\2467305.jpg,club_sandwich
Images\escargots\88503.jpg,escargots
Images\fried_rice\1638920.jpg,fried_rice
Images\donuts\2965797.jpg,donuts
Images\french_fries\1772112.jpg,french_fries
Images\club_sandwich\1904537.jpg,club_sandwich
Images\chicken_wings\2774516.jpg,chicken_wings
Images\fried_rice\1528395.jpg,fried_rice
Images\dumplings\627852.jpg,dumplings
Images\churros\3716210.jpg,churros
Images\escargots\700148.jpg,escargots
Images\grilled_cheese_sandwich\775154.jpg,grilled_cheese_sandwich
Images\escargots\2831284.jpg,escargots
Images\chicken_wings\2093629.jpg,chicken_wings
Images\churros\3593479.jpg,churros
Images\churros\3723114.jpg,churros
Images\churros\1834472.jpg,churros
Images\french_fries\705893.jpg,french_fries
Images\club_sandwich\3362264.jpg,club_sandwich
Images\dumplings\151531.jpg,dumplings
Images\dumplings\820905.jpg,dumplings
Images\grilled_cheese_sandwich\1171656.jpg,grilled_cheese_sandwich
Images\chicken_quesadilla\1994905.jpg,chicken_quesadilla
Images\chicken_wings\78515.jpg,chicken_wings
Images\fish_and_chips\1517315.jpg,fish_and_chips
Images\fish_and_chips\1620759.jpg,fish_and_chips
Images\fish_and_chips\3226554.jpg,fish_and_chips
Images\french_fries\2773760.jpg,french_fries
Images\grilled_cheese_sandwich\2248828.jpg,grilled_cheese_sandwich
Images\donuts\100786.jpg,donuts
Images\french_fries\2984592.jpg,french_fries
Images\fried_rice\270830.jpg,fried_rice
Images\club_sandwich\2584554.jpg,club_sandwich
Images\chicken_wings\3533706.jpg,chicken_wings
Images\escargots\421926.jpg,escargots
Images\club_sandwich\2724384.jpg,club_sandwich
Images\chicken_wings\2412780.jpg,chicken_wings
Images\churros\2522264.jpg,churros
Images\fish_and_chips\3511879.jpg,fish_and_chips
Images\french_fries\2077845.jpg,french_fries
Images\churros\2097629.jpg,churros
Images\churros\1656185.jpg,churros
Images\grilled_cheese_sandwich\849182.jpg,grilled_cheese_sandwich
Images\escargots\118515.jpg,escargots
Images\chicken_wings\697748.jpg,chicken_wings
Images\french_fries\3297902.jpg,french_fries
Images\donuts\2682162.jpg,donuts
Images\fish_and_chips\2348219.jpg,fish_and_chips
Images\grilled_cheese_sandwich\2618399.jpg,grilled_cheese_sandwich
Images\chicken_quesadilla\2045745.jpg,chicken_quesadilla
Images\escargots\2762343.jpg,escargots
Images\grilled_cheese_sandwich\2082630.jpg,grilled_cheese_sandwich
Images\escargots\2911843.jpg,escargots
Images\fried_rice\1483637.jpg,fried_rice
Images\escargots\3300891.jpg,escargots
Images\chicken_wings\705250.jpg,chicken_wings
Images\fish_and_chips\724722.jpg,fish_and_chips
Images\grilled_cheese_sandwich\2527001.jpg,grilled_cheese_sandwich
Images\fried_rice\3142588.jpg,fried_rice
Images\churros\2167393.jpg,churros
Images\churros\1799590.jpg,churros
Images\donuts\3089074.jpg,donuts
Images\churros\2143188.jpg,churros
Images\churros\2859628.jpg,churros
Images\grilled_cheese_sandwich\476121.jpg,grilled_cheese_sandwich
Images\dumplings\3256745.jpg,dumplings
Images\club_sandwich\2690138.jpg,club_sandwich
Images\donuts\133593.jpg,donuts
